 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,MinThr,MaxThr,Length
70,6.198E0,2.732E2,1.961E2,4.208E2,-1.591E0,2.576E1,2.861E2,2.046E2,1.784E2,4.098E-2,-3.403E38,3.4e38,2.576E1
71,4.890E0,1.308E2,7.783E1,2.667E2,-9.813E1,2.023E1,2.883E2,3.226E2,8.187E1,4.595E-2,-3.403E38,3.4e38,2.023E1
72,5.174E0,1.199E2,6.100E1,2.658E2,-1.743E2,2.157E1,2.833E2,3.348E2,5.711E0,7.927E-2,-3.403E38,3.4e38,2.157E1
73,2.050E1,4.211E2,1.994E2,2.008E3,1.003E2,5.229E1,6.021E2,4.653E2,1.003E2,1.781E-1,-3.403E38,3.4e38,5.229E1
74,1.747E1,3.356E2,1.740E2,5.170E2,-9.000E1,4.443E1,6.185E2,3.905E2,9.000E1,0.000E0,-3.403E38,3.4e38,4.443E1
75,8.927E0,5.136E1,-2.175E1,2.440E2,-6.245E1,3.712E1,2.368E2,1.617E2,1.176E2,3.421E-2,-3.403E38,3.4e38,3.712E1
76,9.155E0,8.353E1,4.409E1,1.316E2,-1.282E2,3.821E1,2.489E2,2.268E2,5.184E1,1.049E-1,-3.403E38,3.4e38,3.821E1
77,9.667E0,1.666E2,8.831E1,2.587E2,-1.175E2,4.032E1,2.096E2,2.647E2,6.253E1,1.799E-2,-3.403E38,3.4e38,4.032E1
78,1.149E1,5.712E1,2.610E1,1.810E2,3.893E1,4.782E1,2.346E2,2.897E2,3.893E1,6.047E-2,-3.403E38,3.4e38,4.782E1
79,7.335E0,1.766E2,8.306E1,5.888E2,-1.136E2,3.043E1,3.112E2,3.470E2,6.645E1,2.776E-2,-3.403E38,3.4e38,3.043E1
80,8.074E0,1.136E2,4.436E1,2.670E2,-1.728E1,3.371E1,1.939E2,3.069E2,1.627E2,1.286E-1,-3.403E38,3.4e38,3.371E1
